Formula,Algorithm,Clauses Prop,Time
0,Local Search,0.98,0.253
0,Genetic,0.98,4.733
0,DPLL,,2.026
1,Local Search,0.98,0.238
1,Genetic,0.98,4.744
1,DPLL,,0.0
2,Local Search,0.98,0.225
2,Genetic,0.98,4.728
2,DPLL,,1.393
3,Local Search,0.98,0.235
3,Genetic,0.99,4.655
3,DPLL,,0.0
4,Local Search,0.98,0.211
4,Genetic,0.99,4.708
4,DPLL,,4.234
5,Local Search,0.97,0.216
5,Genetic,0.98,4.729
5,DPLL,,0.0
6,Local Search,0.98,0.25
6,Genetic,0.98,4.774
6,DPLL,,0.152
7,Local Search,0.98,0.251
7,Genetic,0.98,4.849
7,DPLL,,0.001
8,Local Search,0.98,0.245
8,Genetic,0.98,4.817
8,DPLL,,1.337
9,Local Search,0.98,0.238
9,Genetic,0.98,4.84
9,DPLL,,0.002
10,Local Search,0.98,0.228
10,Genetic,0.98,4.837
10,DPLL,,0.305
11,Local Search,0.98,0.268
11,Genetic,0.98,4.83
11,DPLL,,0.0
12,Local Search,0.98,0.211
12,Genetic,0.98,4.969
12,DPLL,,1.676
13,Local Search,0.98,0.229
13,Genetic,0.98,4.909
13,DPLL,,0.0
14,Local Search,0.98,0.245
14,Genetic,0.98,4.907
14,DPLL,,0.087
15,Local Search,0.98,0.223
15,Genetic,0.98,4.925
15,DPLL,,0.0
16,Local Search,0.97,0.238
16,Genetic,0.98,4.83
16,DPLL,,2.091
17,Local Search,0.97,0.202
17,Genetic,0.97,4.827
17,DPLL,,0.002
18,Local Search,0.98,0.238
18,Genetic,0.98,4.809
18,DPLL,,0.335
19,Local Search,0.97,0.214
19,Genetic,0.98,4.844
19,DPLL,,0.0
20,Local Search,0.98,0.229
20,Genetic,0.98,4.882
20,DPLL,,4.365
21,Local Search,0.98,0.248
21,Genetic,0.98,4.797
21,DPLL,,0.0
22,Local Search,0.98,0.262
22,Genetic,0.98,4.756
22,DPLL,,0.216
23,Local Search,0.97,0.228
23,Genetic,0.98,4.755
23,DPLL,,0.0
24,Local Search,0.98,0.239
24,Genetic,0.98,4.878
24,DPLL,,0.041
25,Local Search,0.97,0.186
25,Genetic,0.98,4.78
25,DPLL,,0.002
26,Local Search,0.97,0.236
26,Genetic,0.98,4.823
26,DPLL,,4.751
27,Local Search,0.97,0.239
27,Genetic,0.98,4.786
27,DPLL,,2.508
28,Local Search,0.98,0.25
28,Genetic,0.98,4.843
28,DPLL,,0.0
29,Local Search,0.97,0.215
29,Genetic,0.98,4.849
29,DPLL,,2.311
30,Local Search,0.97,0.205
30,Genetic,0.98,4.829
30,DPLL,,0.001
31,Local Search,0.98,0.228
31,Genetic,0.98,4.864
31,DPLL,,0.373
32,Local Search,0.98,0.255
32,Genetic,0.99,4.844
32,DPLL,,0.0
33,Local Search,0.98,0.226
33,Genetic,0.98,4.915
33,DPLL,,0.467
34,Local Search,0.98,0.219
34,Genetic,0.98,4.889
34,DPLL,,0.0
35,Local Search,0.97,0.243
35,Genetic,0.98,4.924
35,DPLL,,2.758
36,Local Search,0.98,0.218
36,Genetic,0.98,4.965
36,DPLL,,0.769
37,Local Search,0.97,0.222
37,Genetic,0.98,4.886
37,DPLL,,0.002
38,Local Search,0.97,0.234
38,Genetic,0.98,4.866
38,DPLL,,0.823
39,Local Search,0.98,0.219
39,Genetic,0.98,4.9
39,DPLL,,0.0
40,Local Search,0.98,0.233
40,Genetic,0.98,4.855
40,DPLL,,2.018
41,Local Search,0.97,0.24
41,Genetic,0.98,4.899
41,DPLL,,0.0
42,Local Search,0.98,0.227
42,Genetic,0.98,4.88
42,DPLL,,0.106
43,Local Search,0.98,0.216
43,Genetic,0.98,4.848
43,DPLL,,0.001
44,Local Search,0.98,0.21
44,Genetic,0.98,4.897
44,DPLL,,4.018
45,Local Search,0.98,0.263
45,Genetic,0.99,4.813
45,DPLL,,0.0
46,Local Search,0.98,0.227
46,Genetic,0.99,4.843
46,DPLL,,1.81
47,Local Search,0.98,0.239
47,Genetic,0.99,4.836
47,DPLL,,0.458
48,Local Search,0.98,0.221
48,Genetic,0.98,4.84
48,DPLL,,0.002
49,Local Search,0.98,0.207
49,Genetic,0.98,4.779
49,DPLL,,1.178
