Formula,Algorithm,Clauses Prop,Time
0,Local Search,0.9741,0.1851
0,Genetic,0.978,4.2012
0,DPLL,,1.8625
1,Local Search,0.9785,0.2153
1,Genetic,0.9839,4.2528
1,DPLL,,0.0
2,Local Search,0.9824,0.2146
2,Genetic,0.9824,4.3089
2,DPLL,,1.2826
3,Local Search,0.9785,0.1979
3,Genetic,0.981,4.2376
3,DPLL,,0.0
4,Local Search,0.9776,0.217
4,Genetic,0.9834,4.2656
4,DPLL,,3.8078
5,Local Search,0.9707,0.2125
5,Genetic,0.9785,4.2458
5,DPLL,,0.001
6,Local Search,0.978,0.208
6,Genetic,0.9751,4.2753
6,DPLL,,0.1401
7,Local Search,0.9737,0.1978
7,Genetic,0.9829,4.2831
7,DPLL,,0.0
8,Local Search,0.981,0.1953
8,Genetic,0.9844,4.2699
8,DPLL,,1.178
9,Local Search,0.9829,0.2177
9,Genetic,0.982,4.1696
9,DPLL,,0.0007
10,Local Search,0.9756,0.2008
10,Genetic,0.9863,4.2148
10,DPLL,,0.2714
11,Local Search,0.979,0.2161
11,Genetic,0.9785,4.1864
11,DPLL,,0.0
12,Local Search,0.9795,0.23
12,Genetic,0.9829,4.1873
12,DPLL,,1.5743
13,Local Search,0.9751,0.1765
13,Genetic,0.9805,4.1743
13,DPLL,,0.0
14,Local Search,0.9683,0.1848
14,Genetic,0.981,4.1798
14,DPLL,,0.0787
15,Local Search,0.9824,0.2114
15,Genetic,0.9839,4.1927
15,DPLL,,0.0
16,Local Search,0.9785,0.2009
16,Genetic,0.98,4.2313
16,DPLL,,1.9357
17,Local Search,0.9712,0.1746
17,Genetic,0.9766,4.2208
17,DPLL,,0.0
18,Local Search,0.9849,0.2562
18,Genetic,0.9878,4.2245
18,DPLL,,0.2997
19,Local Search,0.9756,0.2132
19,Genetic,0.9844,4.2124
19,DPLL,,0.0
20,Local Search,0.9727,0.2034
20,Genetic,0.9844,4.1684
20,DPLL,,3.9282
21,Local Search,0.9746,0.2084
21,Genetic,0.981,4.2227
21,DPLL,,0.03
22,Local Search,0.9776,0.1898
22,Genetic,0.9815,4.2392
22,DPLL,,0.2206
23,Local Search,0.9732,0.2133
23,Genetic,0.98,4.161
23,DPLL,,0.0
24,Local Search,0.9829,0.2202
24,Genetic,0.9839,4.1695
24,DPLL,,0.0391
25,Local Search,0.9722,0.1942
25,Genetic,0.9771,4.2849
